"Index", "Height(Inches)", "Weight(Pounds)"
1, 65.78331, 112.9925
2, 71.51521, 136.4873
3, 69.39874, 153.0269
4, 68.2166, 142.3354
5, 67.78781, 144.2971
6, 68.69784, 123.3024
7, 69.80204, 141.4947
8, 70.01472, 136.4623
9, 67.90265, 112.3723
10, 66.78236, 120.6672
11, 66.48769, 127.4516
12, 67.62333, 114.143
13, 68.30248, 125.6107
14, 67.11656, 122.4618
15, 68.27967, 116.0866
16, 71.0916, 139.9975
17, 66.461, 129.5023
18, 68.64927, 142.9733
19, 71.23033, 137.9025
20, 67.13118, 124.0449
21, 67.83379, 141.2807
22, 68.87881, 143.5392
23, 63.48115, 97.90191
24, 68.42187, 129.5027
25, 67.62804, 141.8501
26, 67.20864, 129.7244
27, 70.84235, 142.4235
28, 67.49434, 131.5502
29, 66.53401, 108.3324
30, 65.44098, 113.8922
31, 69.5233, 103.3016
32, 65.8132, 120.7536
33, 67.8163, 125.7886
34, 70.59505, 136.2225
35, 71.80484, 140.1015
36, 69.20613, 128.7487
37, 66.80368, 141.7994
38, 67.65893, 121.2319
39, 67.80701, 131.3478
40, 64.04535, 106.7115
41, 68.57463, 124.3598
42, 65.18357, 124.8591
43, 69.65814, 139.6711
44, 67.96731, 137.3696
45, 65.98088, 106.4499
46, 68.67249, 128.7639
47, 66.88088, 145.6837
48, 67.69868, 116.819
